data_period,store_id,store_name,region,city,store_format,monthly_footfall,total_transactions,revenue_inr_thousand,avg_basket_size_inr,loyalty_transactions,loyalty_sales_contribution_pct,pickup_orders,pickup_fulfillment_rate_pct,online_sales_pct,fresh_wastage_pct,stockout_incidents,on_shelf_availability_pct,avg_days_to_expiry_fresh_produce,avg_checkout_wait_min,customer_complaints,avg_customer_rating,staff_utilisation_pct,top_revenue_category,top_category_revenue_pct
2024-01,STR_001,FreshLane Delhi Superstore 1,North,Delhi,Superstore,8117,4755,1848.7,699.06,1686,29.7,446,91.6,32.1,2.26,28,98.7,4,3.1,34,3.67,68.1,Dairy & Eggs,12.3
2024-02,STR_001,FreshLane Delhi Superstore 1,North,Delhi,Superstore,8033,5548,1841.6,483.86,1935,36.8,240,89.3,34.7,3.64,23,93.7,3.4,1.8,22,4.31,67.6,Frozen Foods,8.9
2024-03,STR_001,FreshLane Delhi Superstore 1,North,Delhi,Superstore,8945,5546,2128.7,845.88,1853,48.5,286,84,24.8,2.36,21,98,2.5,6.5,25,3.87,79.2,Frozen Foods,15.7
2024-04,STR_001,FreshLane Delhi Superstore 1,North,Delhi,Superstore,8088,6196,2174.2,822.59,3799,45.9,529,83.4,14.7,2.45,7,91.6,2.8,3.5,12,4.64,73.8,Beverages,11.9
2024-05,STR_001,FreshLane Delhi Superstore 1,North,Delhi,Superstore,8662,4912,1863.4,841.54,3170,51.2,175,82.1,35.7,7.54,25,96,3.9,2.1,29,3.94,65.8,Dairy & Eggs,20.1
2024-06,STR_001,FreshLane Delhi Superstore 1,North,Delhi,Superstore,8422,5234,1862.1,324.49,2165,49.9,377,96.2,24.1,3.02,15,95.8,3.9,5.7,24,4.56,78.3,Staples & Grains,15.3
2024-07,STR_001,FreshLane Delhi Superstore 1,North,Delhi,Superstore,8079,4501,1726.2,355.52,2352,37.4,312,96.5,16.5,5.26,16,96.3,2.4,2.1,40,3.83,67.3,Personal Care,21
2024-08,STR_001,FreshLane Delhi Superstore 1,North,Delhi,Superstore,8757,6435,1999.3,890.02,2350,54.8,334,94.9,38.5,4.55,26,89.2,2.4,4.7,29,4.63,90.4,Staples & Grains,8.1
2024-09,STR_001,FreshLane Delhi Superstore 1,North,Delhi,Superstore,8791,5077,2013.9,435.48,2123,56.3,241,90.3,31.9,4.9,19,98.7,4.4,3.4,16,4.15,71.9,Personal Care,12
2024-10,STR_001,FreshLane Delhi Superstore 1,North,Delhi,Superstore,8922,5012,2297.8,631.88,1992,55.2,219,84.3,24.6,9.69,27,90.7,3.6,7.2,31,3.76,86,Snacks & Confectionery,13.1
2024-11,STR_001,FreshLane Delhi Superstore 1,North,Delhi,Superstore,10367,5917,2432.2,655.04,3504,37.6,199,82.7,28.1,7.32,13,88.2,3.2,3.2,44,4.37,67.8,Organic & Natural,17.7
2024-12,STR_001,FreshLane Delhi Superstore 1,North,Delhi,Superstore,10306,6476,2663.2,376.26,2199,55.7,625,86.1,30.4,8.39,16,94.1,3.2,3.3,19,3.54,91.6,Health & Wellness,20.6
2025-01,STR_001,FreshLane Delhi Superstore 1,North,Delhi,Superstore,8196,5876,1812.4,524.45,3607,54.6,408,92.3,10.9,3.34,18,97.9,3.4,1.6,34,3.55,83.9,Ready to Eat,8.1
2025-02,STR_001,FreshLane Delhi Superstore 1,North,Delhi,Superstore,8021,5614,1998.4,764.33,2124,49.4,180,87.2,33.4,7.1,7,97.3,3.6,5.8,13,3.54,74.1,Frozen Foods,11.7
2025-03,STR_001,FreshLane Delhi Superstore 1,North,Delhi,Superstore,8484,6406,2259.5,555.17,3336,51.8,316,91.2,24.7,3.6,10,95.9,2.6,1.7,4,4.37,67.8,International Foods,21.2
2025-04,STR_001,FreshLane Delhi Superstore 1,North,Delhi,Superstore,9684,5360,2281.6,539.11,3349,40.8,551,97.4,37,4.37,13,92.2,4.1,3.9,36,3.65,80.4,Meat & Seafood,21.1
2025-05,STR_001,FreshLane Delhi Superstore 1,North,Delhi,Superstore,9406,6503,2157.9,348.02,4204,32.2,334,96,33.2,7.47,24,95.7,2.8,3.7,34,4.61,88.7,Meat & Seafood,20.1
2025-06,STR_001,FreshLane Delhi Superstore 1,North,Delhi,Superstore,9334,6847,2047.6,631.06,3611,49.1,453,96.2,19.5,4.99,11,89,3.4,1.8,6,4.1,79.9,Beverages,12
